year,country,iso_code,refugees,asylum_seekers,total
2022,Albania,ALB,2542,5,2547
2022,Egypt,EGY,0,5,5
2022,Argentina,ARG,121,59,180
2022,Armenia,ARM,406,122,528
2022,Australia,AUS,1527,502,2029
2022,Austria,AUT,89862,249,90111
2022,Azerbaijan,AZE,4770,77,4847
2022,Belgium,BEL,61975,685,62660
2022,Belarus,BLR,19384,532,19916
2022,Bolivia (Plurinational State of),BOL,5,0,5
2022,Brazil,BRA,43,65,108
2022,Bosnia and Herzegovina,BIH,147,0,147
2022,Bulgaria,BGR,149215,16,149231
2022,Canada,CAN,75098,196,75294
2022,China,CHN,0,18,18
2022,Chile,CHL,46,53,99
2022,Colombia,COL,8,21,29
2022,Costa Rica,CRI,13,40,53
2022,Cyprus,CYP,12472,94,12566
2022,Czechia,CZE,433501,137,433638
2022,Denmark,DNK,32839,867,33706
2022,Dominican Rep.,DOM,0,14,14
2022,Ecuador,ECU,79,5,84
2022,Estonia,EST,40298,518,40816
2022,Finland,FIN,44953,553,45506
2022,France,FRA,69302,1270,70572
2022,United Kingdom of Great Britain and Northern Ireland,GBR,182423,976,183399
2022,Georgia,GEO,26446,52,26498
2022,Germany,DEU,1002999,1383,1004382
2022,Ghana,GHA,0,5,5
2022,Greece,GRC,21827,104,21931
2022,Guatemala,GTM,0,5,5
2022,Croatia,HRV,19416,0,19416
2022,Hungary,HUN,29632,5,29637
2022,Iceland,ISL,2335,0,2335
2022,India,IND,0,58,58
2022,Ireland,IRL,70578,238,70816
2022,Iraq,IRQ,0,5,5
2022,Israel,ISR,30,384,414
2022,Italy,ITA,149872,1878,151750
2022,Jordan,JOR,0,10,10
2022,Japan,JPN,2013,0,2013
2022,Kazakhstan,KAZ,0,550,550
2022,Kyrgyzstan,KGZ,14,10,24
2022,Rep. of Korea,KOR,17,22,39
2022,Lebanon,LBN,0,16,16
2022,Liechtenstein,LIE,402,0,402
2022,Lithuania,LTU,65175,0,65175
2022,Luxembourg,LUX,4500,25,4525
2022,Latvia,LVA,37800,10,37810
2022,North Macedonia,MKD,6816,0,6816
2022,Rep. of Moldova,MDA,98910,3194,102104
2022,Mexico,MEX,31,149,180
2022,Montenegro,MNE,32346,5,32351
2022,Malta,MLT,1765,54,1819
2022,Nepal,NPL,0,5,5
2022,Netherlands (Kingdom of the),NLD,102643,1059,103702
2022,Nigeria,NGA,0,5,5
2022,Norway,NOR,33243,10,33253
2022,New Zealand,NZL,5,17,22
2022,Panama,PAN,11,10,21
2022,Paraguay,PRY,9,0,9
2022,Peru,PER,29,7,36
